title,year,genre,country,avg_vote
24 Hours,1931,Drama,USA,6.0
Alice in Wonderland,1931,Fantasy,USA,4.6
Ambassador Bill,1931,Comedy,USA,6.2
Are These Our Children,1931,Drama,USA,5.8
Un popolo muore,1931,Drama,USA,6.2
The Bad Sister,1931,Drama,USA,6.3
Amor mio tradiscimi!,1931,Romance,USA,5.9
La trovatella,1931,Comedy,USA,6.6
Broadminded,1931,Comedy,USA,5.9
Los calaveras,1931,Comedy,USA,6.4
La crociera del delitto,1931,Mystery,USA,6.7
The Cheat,1931,Drama,USA,6.4
Consolation Marriage,1931,Drama,USA,6.1
La piccola amica,1931,Drama,USA,6.2
Dirigibile,1931,Adventure,USA,6.3
Borneo selvaggio,1931,Adventure,USA,5.7
The Heart of New York,1932,Comedy,USA,6.0
Expensive Women,1931,Drama,USA,5.6
La fine del mondo,1931,Sci-Fi,France,6.1
Il bel capitano,1931,Drama,USA,5.1
Ragazze per la città,1931,Comedy,USA,7.0
La sposa nella tempesta,1931,Drama,USA,6.9
Hyppolit a lakáj,1931,Comedy,Hungary,7.8
Iron Man,1931,Drama,USA,6.1
Kiki,1931,Musical,USA,5.0
Ladies' Man,1931,Drama,USA,6.0
The Last Flight,1931,Drama,USA,6.8
Laugh and Get Rich,1931,Comedy,USA,5.6
The Man in Possession,1931,Comedy,USA,6.9
L'uomo che cerca il suo assassino,1931,Comedy,Germany,6.5
My Sin,1931,Drama,USA,6.5
Il delitto Karamazov,1931,Drama,Germany,7.3
La voce del sangue,1931,Drama,USA,5.6
Sola,1931,Drama,Soviet Union,7.1
La purga al lupo,1931,Comedy,France,6.1
The Painted Desert,1931,Western,USA,5.1
Io... e le donne,1931,Comedy,USA,6.1
Politiquerías,1931,Comedy,USA,6.7
Il cammino verso la vita,1931,Drama,Soviet Union,7.1
Rebound,1931,Drama,USA,5.7
The Royal Bed,1931,Comedy,USA,5.9
Santa,1932,Drama,Mexico,7.0
Il richiamo dei figli,1931,Drama,USA,7.0
Il fallo di Madelon Claudet,1931,Drama,USA,6.7
Fiamma d'amore,1931,Drama,UK,5.8
Naturich la moglie indiana,1931,Western,USA,6.4
The Star Witness,1931,Drama,USA,6.3
The Struggle,1931,Drama,USA,6.2
Three Who Loved,1931,Drama,USA,5.7
Transgression,1931,Drama,USA,5.8
La ditta innamorata,1932,Comedy,Germany,6.2
After Tomorrow,1932,Drama,USA,6.7
Il segreto del dottore,1932,Drama,USA,6.0
La follia della metropoli,1932,Drama,USA,7.4
Are You Listening?,1932,Drama,USA,6.2
Come tu mi vuoi,1932,Drama,USA,6.4
The Big Stampede,1932,Western,USA,5.8
Febbre di vivere,1932,Drama,USA,6.5
Venere bionda,1932,Drama,USA,7.1
Boudu salvato dalle acque,1932,Comedy,France,7.4
L'uomo che ho ucciso,1932,Drama,USA,7.6
-But the Flesh Is Weak,1932,Comedy,USA,5.6
L'espresso blu,1932,Mystery,USA,6.7
Tentazioni,1932,Drama,USA,6.8
Sangue ribelle,1932,Drama,USA,7.0
Charlie Chan's Chance,1932,Mystery,USA,6.1
The Crash,1932,Drama,USA,6.0
Crooner,1932,Comedy,USA,5.9
Dancers in the Dark,1932,Drama,USA,6.1
The Dark Horse,1932,Comedy,USA,7.0
Il diavolo nell'abisso,1932,Drama,USA,6.4
Ingratitudine,1932,Drama,USA,7.0
FP 1 non risponde,1932,Sci-Fi,Germany,6.3
Faithless,1932,Drama,USA,6.8
Lo squadrone si diverte,1932,Comedy,France,6.0
The Greeks Had a Word for Them,1932,Comedy,USA,6.1
Hell's House,1932,Drama,USA,6.0
High Pressure,1932,Comedy,USA,6.6
Ivan,1932,Drama,Soviet Union,6.5
The King Murder,1932,Mystery,USA,5.5
Kuhle Wampe oder: Wem gehört die Welt?,1932,Drama,Germany,6.6
Law and Order,1932,Western,USA,6.9
Ritorno,1932,Drama,USA,6.1
L'angelo della vita,1932,Drama,USA,6.4
Madame Butterfly,1932,Drama,USA,6.2
Manhattan Tower,1932,Drama,USA,6.5
The Match King,1932,Drama,USA,6.9
Men of Chance,1931,Drama,USA,6.0
The Midnight Warning,1932,Mystery,USA,5.0
The Miracle Man,1932,Drama,USA,6.2
The Mouthpiece,1932,Drama,USA,7.1
Nasanunaka,1932,Drama,Japan,6.8
Night World,1932,Drama,USA,6.9
Once in a Lifetime,1932,Comedy,USA,6.4
Chi la dura la vince,1932,Comedy,USA,5.9
Pel di carota,1932,Drama,France,7.3
Pioggia,1932,Drama,USA,6.9
Red-Haired Alibi,1932,Drama,USA,5.6
The Roadhouse Murder,1932,Thriller,USA,5.4
Secrets of the French Police,1932,Crime,USA,5.8
Dove sono finiti i sogni di gioventù,1932,Drama,Japan,6.9
Sherlock Holmes,1932,Drama,USA,5.7
Sinister Hands,1932,Mystery,USA,5.2
The Son-Daughter,1932,Drama,USA,5.5
Il professore,1932,Comedy,USA,5.8
Giuro di dire la verità,1932,Drama,USA,6.7
Strano interludio,1932,Drama,USA,5.7
Melodie della vita,1932,Drama,USA,6.1
They Call It Sin,1932,Drama,USA,6.2
This Is the Night,1932,Comedy,USA,6.7
Il figlio del disertore,1932,Drama,USA,6.6
Tombstone Canyon,1932,Western,USA,6.1
Unashamed,1932,Drama,USA,6.1
Veiled Aristocrats,1932,Drama,USA,5.0
Washington Merry-Go-Round,1932,Drama,USA,6.7
Week-End Marriage,1932,Comedy,USA,5.7
A che prezzo Hollywood?,1932,Drama,USA,7.1
L'isola degli zombies,1932,Horror,USA,6.3
Winner Take All,1932,Drama,USA,6.1
L'avventuriera di Montecarlo,1932,Drama,USA,5.3
You Said a Mouthful,1932,Comedy,USA,6.1
Young Bride,1932,Drama,USA,6.2
Air Hostess,1933,Drama,USA,6.1
Ann Carver's Profession,1933,Drama,USA,5.9
Another Language,1933,Drama,USA,6.4
As the Earth Turns,1934,Drama,USA,6.1
Blind Adventure,1933,Mystery,USA,6.1
Broadway Thru a Keyhole,1933,Musical,USA,6.2
Ala errante,1933,Drama,USA,6.3
Charlie Chan's Greatest Case,1933,Mystery,USA,5.9
Day of Reckoning,1933,Drama,USA,6.3
Capriccio passeggero,1933,Drama,Japan,7.3
Dezertir,1933,Drama,Soviet Union,6.4
Eschimo,1933,Drama,USA,7.0
Fast Workers,1933,Drama,USA,6.2
Gambling Ship,1933,Drama,USA,6.1
Ganga Bruta,1933,Drama,Brazil,7.0
Il giocatore,1933,Comedy,USA,5.7
Uno dei tanti,1933,Biography,Germany,6.0
Havana Widows,1933,Comedy,USA,6.3
Hitlerjunge Quex,1933,Drama,Germany,5.8
Hoopla,1933,Drama,USA,6.5
International House,1933,Comedy,USA,7.0
Jennie,1933,Drama,USA,6.6
Kimi to wakarete,1933,Drama,Japan,7.1
Lilly Turner,1933,Drama,USA,6.5
Looking Forward,1933,Drama,USA,7.1
"Mary Stevens, M.D.",1933,Drama,USA,6.5
La maschera,1933,Drama,USA,6.3
La maternelle,1933,Drama,France,6.5
Meet the Baron,1933,Comedy,USA,5.6
The Narrow Corner,1933,Drama,USA,6.2
Volo di notte,1933,Drama,USA,6.2
La grande menzogna,1933,Drama,USA,5.9
Oliver Twist,1933,Drama,USA,4.9
One Man's Journey,1933,Drama,USA,6.8
Uomini nello spazio,1933,Drama,USA,6.6
Pellegrinaggio,1933,Drama,USA,7.2
Potenza e gloria,1933,Drama,USA,6.8
Sitting Pretty,1933,Musical,USA,6.2
I figli del deserto,1933,Comedy,USA,7.6
Perdizione,1933,Drama,USA,7.1
Figli di lusso,1933,Drama,USA,6.6
Taki no shiraito,1933,Drama,Japan,7.3
Three Cornered Moon,1933,Comedy,USA,6.5
Tillie and Gus,1933,Comedy,USA,6.8
Una donna di Tokyo,1933,Drama,Japan,7.0
Treno popolare,1933,Comedy,Italy,7.1
Il grande consolatore,1933,Drama,Soviet Union,6.6
Viva la birra,1933,Comedy,USA,5.8
L'inferno verde,1933,Drama,USA,6.1
The Woman Accused,1933,Drama,USA,6.5
Yogoto no yume,1933,Drama,Japan,7.1
Angèle,1934,Drama,France,7.2
Babbitt,1934,Drama,USA,6.1
Big Hearted Herbert,1934,Comedy,USA,6.2
By Your Leave,1934,Comedy,USA,5.7
The Captain Hates the Sea,1934,Comedy,USA,6.4
Carovane,1934,Musical,USA,6.2
Zampa di gatto,1934,Comedy,USA,6.7
The Circus Clown,1934,Comedy,USA,6.2
Curtain at Eight,1933,Mystery,USA,5.9
Dangerous Corner,1934,Mystery,USA,6.0
Dark Hazard,1934,Drama,USA,6.3
Death at Broadcasting House,1934,Mystery,UK,6.0
L'ultimo miliardario,1934,Comedy,France,6.2
The Dragon Murder Case,1934,Mystery,USA,6.4
Good-bye Love,1933,Comedy,USA,5.4
Green Eyes,1934,Mystery,USA,5.2
Una madre dovrebbe essere amata,1934,Drama,Japan,6.5
"Hat, Coat, and Glove",1934,Drama,USA,5.8
Housewife,1934,Drama,USA,6.3
Che bel regalo,1934,Comedy,USA,7.2
Journal of a Crime,1934,Drama,USA,6.1
La strada senza fine,1934,Drama,Japan,7.0
The Key,1934,Drama,USA,5.9
Let's Try Again,1934,Drama,USA,4.9
La donna nell'ombra,1934,Drama,USA,6.6
E adesso pover'uomo?,1934,Drama,USA,7.3
The Lost Jungle,1934,Adventure,USA,4.1
La signora Bovary,1934,Drama,France,6.6
The Man Who Reclaimed His Head,1934,Drama,USA,7.0
Maniac,1934,Horror,USA,3.7
Il Giglio insanguinato,1934,Drama,France,6.7
Un popolo in ginocchio,1934,Drama,USA,6.9
Merry Wives of Reno,1934,Comedy,USA,6.2
I miserabili,1934,Drama,France,8.2
La mujer del puerto,1934,Drama,Mexico,7.2
Murder on the Campus,1933,Mystery,USA,5.6
Nanà,1934,Drama,USA,5.9
I ragazzi della via Paal,1934,Drama,USA,7.0
Now I'll Tell,1934,Drama,USA,6.1
Compagni d'allegria,1934,Comedy,USA,7.5
Once to Every Woman,1934,Drama,USA,6.4
Paris Interlude,1934,Drama,USA,5.9
The President Vanishes,1934,Drama,USA,6.1
Pyshka,1934,Drama,Soviet Union,7.4
Vessillo rosso,1934,Drama,UK,5.9
Il difensore misterioso,1934,Mystery,UK,5.6
The Road to Ruin,1934,Drama,USA,4.7
Sensation Hunters,1933,Drama,USA,5.9
Sequoia,1934,Drama,USA,6.5
The Show-Off,1934,Comedy,USA,6.0
La signora di tutti,1934,Drama,Italy,7.3
Sing and Like It,1934,Comedy,USA,6.7
I sei mattacchioni,1934,Comedy,USA,6.8
So ein Flegel,1934,Comedy,Germany,6.0
Argento vivo,1934,Drama,USA,5.4
Strogiy yunosha,1935,Drama,Soviet Union,6.7
Student Tour,1934,Musical,USA,5.2
Success at Any Price,1934,Drama,USA,6.6
